weighted_prices,sales,date,A1,A2,A3,R1,R2,R3,M1,M2,M3,P1,P2,P3,D1
1.4873,9306594,03/03/2012,3.849,3.771,4.009,3.793,3.717,3.954,3.92,3.824,4.104,4.043,3.977,4.167,4.094
1.4926,9904507,10/03/2012,3.884,3.8,4.056,3.829,3.747,4.002,3.954,3.852,4.15,4.077,4.003,4.214,4.123
1.4926,9904507,10/03/2012,3.884,3.8,4.056,3.829,3.747,4.002,3.954,3.852,4.15,4.077,4.003,4.214,4.123
1.4955,10257090,17/03/2012,3.923,3.841,4.089,3.867,3.787,4.034,3.993,3.895,4.182,4.117,4.045,4.249,4.142
1.4955,10257090,17/03/2012,3.923,3.841,4.089,3.867,3.787,4.034,3.993,3.895,4.182,4.117,4.045,4.249,4.142
1.4955,10257090,17/03/2012,3.923,3.841,4.089,3.867,3.787,4.034,3.993,3.895,4.182,4.117,4.045,4.249,4.142
1.5134,9554443,24/03/2012,3.973,3.897,4.129,3.918,3.843,4.076,4.042,3.952,4.216,4.168,4.104,4.287,4.147
1.5134,9554443,24/03/2012,3.973,3.897,4.129,3.918,3.843,4.076,4.042,3.952,4.216,4.168,4.104,4.287,4.147
1.5134,9554443,24/03/2012,3.973,3.897,4.129,3.918,3.843,4.076,4.042,3.952,4.216,4.168,4.104,4.287,4.147
1.5134,9554443,24/03/2012,3.973,3.897,4.129,3.918,3.843,4.076,4.042,3.952,4.216,4.168,4.104,4.287,4.147
1.5387,9488395,31/03/2012,3.996,3.928,4.135,3.941,3.874,4.08,4.063,3.981,4.222,4.193,4.136,4.299,4.142
1.5387,9488395,31/03/2012,3.996,3.928,4.135,3.941,3.874,4.08,4.063,3.981,4.222,4.193,4.136,4.299,4.142
1.5387,9488395,31/03/2012,3.996,3.928,4.135,3.941,3.874,4.08,4.063,3.981,4.222,4.193,4.136,4.299,4.142
1.5387,9488395,31/03/2012,3.996,3.928,4.135,3.941,3.874,4.08,4.063,3.981,4.222,4.193,4.136,4.299,4.142
1.5387,9488395,31/03/2012,3.996,3.928,4.135,3.941,3.874,4.08,4.063,3.981,4.222,4.193,4.136,4.299,4.142
1.5431,11337748,07/04/2012,3.997,3.934,4.126,3.939,3.877,4.069,4.067,3.993,4.211,4.201,4.148,4.299,4.148
1.5431,11337748,07/04/2012,3.997,3.934,4.126,3.939,3.877,4.069,4.067,3.993,4.211,4.201,4.148,4.299,4.148
1.5431,11337748,07/04/2012,3.997,3.934,4.126,3.939,3.877,4.069,4.067,3.993,4.211,4.201,4.148,4.299,4.148
1.5431,11250617,07/04/2012,3.997,3.934,4.126,3.939,3.877,4.069,4.067,3.993,4.211,4.201,4.148,4.299,4.148
1.5431,11337748,07/04/2012,3.997,3.934,4.126,3.939,3.877,4.069,4.067,3.993,4.211,4.201,4.148,4.299,4.148
